starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:59:46 2022	1671883186	0	312	312	311
Sat Dec 24 11:59:44 2022	1671883184	1	311	312	311
Sat Dec 24 11:59:46 2022	1671883186	0	312	312	311
Sat Dec 24 11:59:43 2022	1671883183	0	312	312	311
Sat Dec 24 11:59:44 2022	1671883184	0	312	312	312
Sat Dec 24 11:59:46 2022	1671883186	0	312	312	312
Sat Dec 24 11:59:45 2022	1671883185	0	312	312	310
Sat Dec 24 11:59:45 2022	1671883185	0	313	313	312
Sat Dec 24 11:59:45 2022	1671883185	0	313	313	312
Sat Dec 24 11:59:44 2022	1671883184	0	313	313	312
Sat Dec 24 11:59:45 2022	1671883185	0	313	313	312
Sat Dec 24 11:59:43 2022	1671883183	0	313	313	312
Sat Dec 24 11:59:44 2022	1671883184	0	313	313	313
Sat Dec 24 11:59:44 2022	1671883184	0	313	313	313
Sat Dec 24 11:59:43 2022	1671883183	0	313	313	313
Sat Dec 24 11:59:45 2022	1671883185	0	313	313	313
Sat Dec 24 11:59:44 2022	1671883184	0	314	314	313
Sat Dec 24 11:59:45 2022	1671883185	0	314	314	312
Sat Dec 24 11:59:44 2022	1671883184	0	314	314	313
Sat Dec 24 11:59:43 2022	1671883183	0	314	314	313
Sat Dec 24 11:59:45 2022	1671883185	0	314	314	314
Sat Dec 24 11:59:41 2022	1671883181	0	314	314	314
Sat Dec 24 11:59:45 2022	1671883185	0	314	314	312
Sat Dec 24 11:59:41 2022	1671883181	0	314	314	314
Sat Dec 24 11:59:45 2022	1671883185	0	314	315	314
Sat Dec 24 11:59:44 2022	1671883184	0	315	315	314
Sat Dec 24 11:59:43 2022	1671883183	0	315	315	314
Sat Dec 24 11:59:45 2022	1671883185	0	315	315	314
Sat Dec 24 11:59:42 2022	1671883182	0	315	315	314
Sat Dec 24 11:59:45 2022	1671883185	0	315	315	300
Sat Dec 24 11:59:45 2022	1671883185	0	315	315	314
Sat Dec 24 11:59:45 2022	1671883185	0	315	315	301
Sat Dec 24 11:59:45 2022	1671883185	0	315	315	315
Sat Dec 24 11:59:45 2022	1671883185	0	315	315	315
Sat Dec 24 11:59:46 2022	1671883186	0	315	315	315
Sat Dec 24 11:59:42 2022	1671883182	0	315	315	314
Sat Dec 24 11:59:42 2022	1671883182	0	315	315	313
Sat Dec 24 11:59:44 2022	1671883184	0	315	316	315
Sat Dec 24 11:59:41 2022	1671883181	0	316	316	315
Sat Dec 24 11:59:44 2022	1671883184	0	316	316	315
Sat Dec 24 11:59:44 2022	1671883184	0	316	316	315
Sat Dec 24 11:59:41 2022	1671883181	1	315	316	315
Sat Dec 24 11:59:46 2022	1671883186	0	316	316	316
Sat Dec 24 11:59:46 2022	1671883186	0	316	316	316
Sat Dec 24 11:59:42 2022	1671883182	0	316	316	316
Sat Dec 24 11:59:46 2022	1671883186	0	316	316	316
Sat Dec 24 11:59:45 2022	1671883185	0	316	316	316
Sat Dec 24 11:59:44 2022	1671883184	0	316	316	315
Sat Dec 24 11:59:46 2022	1671883186	0	317	317	315
Sat Dec 24 11:59:45 2022	1671883185	0	317	317	313
Sat Dec 24 11:59:41 2022	1671883181	0	317	317	317
Sat Dec 24 11:59:41 2022	1671883181	0	317	317	317
Sat Dec 24 11:59:41 2022	1671883181	1	316	317	315
Sat Dec 24 11:59:41 2022	1671883181	1	316	317	316
