starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:58:20 2022	1671883100	0	198	198	198
Sat Dec 24 11:58:20 2022	1671883100	0	198	198	198
Sat Dec 24 11:58:15 2022	1671883095	0	199	199	198
Sat Dec 24 11:58:15 2022	1671883095	0	199	199	182
Sat Dec 24 11:58:16 2022	1671883096	0	199	200	198
Sat Dec 24 11:58:15 2022	1671883095	2	197	200	197
Sat Dec 24 11:58:16 2022	1671883096	0	200	200	199
Sat Dec 24 11:58:15 2022	1671883095	2	198	200	198
Sat Dec 24 11:58:15 2022	1671883095	0	201	201	201
Sat Dec 24 11:58:15 2022	1671883095	0	201	201	201
Sat Dec 24 11:58:17 2022	1671883097	0	201	201	201
Sat Dec 24 11:58:20 2022	1671883100	0	201	202	201
Sat Dec 24 11:58:16 2022	1671883096	0	202	202	202
Sat Dec 24 11:58:15 2022	1671883095	0	202	202	202
Sat Dec 24 11:58:15 2022	1671883095	0	203	203	202
Sat Dec 24 11:58:15 2022	1671883095	0	203	203	202
Sat Dec 24 11:58:16 2022	1671883096	0	203	203	202
Sat Dec 24 11:58:15 2022	1671883095	0	204	204	203
Sat Dec 24 11:58:20 2022	1671883100	0	204	204	204
Sat Dec 24 11:58:20 2022	1671883100	0	205	205	204
Sat Dec 24 11:58:15 2022	1671883095	0	205	205	204
Sat Dec 24 11:58:15 2022	1671883095	0	205	205	204
Sat Dec 24 11:58:20 2022	1671883100	0	206	206	205
Sat Dec 24 11:58:16 2022	1671883096	0	206	206	205
Sat Dec 24 11:58:20 2022	1671883100	0	206	206	205
Sat Dec 24 11:58:20 2022	1671883100	0	206	206	205
Sat Dec 24 11:58:19 2022	1671883099	0	206	206	206
Sat Dec 24 11:58:15 2022	1671883095	0	206	206	206
Sat Dec 24 11:58:16 2022	1671883096	0	207	207	207
Sat Dec 24 11:58:15 2022	1671883095	0	207	207	207
Sat Dec 24 11:58:16 2022	1671883096	0	207	207	207
Sat Dec 24 11:58:17 2022	1671883097	0	208	208	207
Sat Dec 24 11:58:17 2022	1671883097	0	209	209	208
Sat Dec 24 11:58:15 2022	1671883095	0	209	210	208
Sat Dec 24 11:58:15 2022	1671883095	0	210	210	209
Sat Dec 24 11:58:20 2022	1671883100	0	210	210	209
Sat Dec 24 11:58:16 2022	1671883096	0	210	210	210
Sat Dec 24 11:58:16 2022	1671883096	0	210	210	210
Sat Dec 24 11:58:15 2022	1671883095	0	211	211	210
Sat Dec 24 11:58:15 2022	1671883095	0	211	211	210
Sat Dec 24 11:58:16 2022	1671883096	0	212	212	211
Sat Dec 24 11:58:15 2022	1671883095	0	212	212	211
Sat Dec 24 11:58:15 2022	1671883095	0	212	212	211
Sat Dec 24 11:58:20 2022	1671883100	0	212	212	212
Sat Dec 24 11:58:16 2022	1671883096	0	212	212	212
Sat Dec 24 11:58:20 2022	1671883100	0	212	212	212
Sat Dec 24 11:58:15 2022	1671883095	0	213	213	212
Sat Dec 24 11:58:19 2022	1671883099	0	213	213	212
Sat Dec 24 11:58:17 2022	1671883097	0	213	213	209
Sat Dec 24 11:58:19 2022	1671883099	0	214	214	213
Sat Dec 24 11:58:15 2022	1671883095	0	214	214	214
Sat Dec 24 11:58:15 2022	1671883095	0	214	215	214
Sat Dec 24 11:58:15 2022	1671883095	0	215	215	214
Sat Dec 24 11:58:17 2022	1671883097	0	215	215	214
Sat Dec 24 11:58:15 2022	1671883095	0	215	215	214
Sat Dec 24 11:58:19 2022	1671883099	0	215	215	215
Sat Dec 24 11:58:19 2022	1671883099	0	215	215	215
Sat Dec 24 11:58:19 2022	1671883099	0	215	215	214
Sat Dec 24 11:58:16 2022	1671883096	0	215	215	215
Sat Dec 24 11:58:17 2022	1671883097	0	216	216	215
Sat Dec 24 11:58:19 2022	1671883099	0	216	216	216
Sat Dec 24 11:58:19 2022	1671883099	0	216	216	216
Sat Dec 24 11:58:15 2022	1671883095	0	216	216	216
Sat Dec 24 11:58:20 2022	1671883100	0	216	216	216
Sat Dec 24 11:58:15 2022	1671883095	0	216	216	215
Sat Dec 24 11:58:19 2022	1671883099	0	216	216	216
Sat Dec 24 11:58:19 2022	1671883099	0	216	216	216
Sat Dec 24 11:58:17 2022	1671883097	0	216	216	216
Sat Dec 24 11:58:16 2022	1671883096	0	217	217	213
Sat Dec 24 11:58:17 2022	1671883097	0	217	217	216
Sat Dec 24 11:58:15 2022	1671883095	2	215	217	214
Sat Dec 24 11:58:15 2022	1671883095	0	217	217	216
Sat Dec 24 11:58:16 2022	1671883096	0	218	218	217
Sat Dec 24 11:58:18 2022	1671883098	0	218	218	218
Sat Dec 24 11:58:20 2022	1671883100	0	218	218	218
Sat Dec 24 11:58:17 2022	1671883097	0	218	218	218
Sat Dec 24 11:58:17 2022	1671883097	0	219	219	219
Sat Dec 24 11:58:19 2022	1671883099	0	219	219	219
Sat Dec 24 11:58:20 2022	1671883100	0	219	219	219
Sat Dec 24 11:58:16 2022	1671883096	0	219	219	218
Sat Dec 24 11:58:19 2022	1671883099	0	220	220	219
Sat Dec 24 11:58:16 2022	1671883096	0	220	220	219
Sat Dec 24 11:58:19 2022	1671883099	0	220	220	219
Sat Dec 24 11:58:20 2022	1671883100	0	220	220	220
Sat Dec 24 11:58:16 2022	1671883096	0	220	220	220
Sat Dec 24 11:58:16 2022	1671883096	0	221	221	221
Sat Dec 24 11:58:15 2022	1671883095	0	221	221	221
Sat Dec 24 11:58:19 2022	1671883099	0	221	221	221
Sat Dec 24 11:58:16 2022	1671883096	0	221	221	221
Sat Dec 24 11:58:15 2022	1671883095	0	221	221	221
Sat Dec 24 11:58:16 2022	1671883096	0	221	221	220
Sat Dec 24 11:58:19 2022	1671883099	0	222	222	221
Sat Dec 24 11:58:17 2022	1671883097	0	222	222	221
Sat Dec 24 11:58:16 2022	1671883096	0	222	222	221
Sat Dec 24 11:58:16 2022	1671883096	1	221	222	220
Sat Dec 24 11:58:20 2022	1671883100	0	222	222	221
Sat Dec 24 11:58:15 2022	1671883095	0	222	222	222
Sat Dec 24 11:58:15 2022	1671883095	0	222	222	222
